team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
Fordham,33.0,1.48,70.45,72.39,40.76,24.18,60.39,0.01,8.03,25.48,14.06,21.24,13.03,12.91
Fresno State,33.0,3.50,67.67,73.91,40.61,24.61,54.36,0.01,6.94,20.91,11.52,16.82,7.88,12.58
Furman,33.0,-1.93,79.48,75.94,40.61,27.61,62.24,0.01,9.7,29.94,14.58,20.03,11.24,11.85
Gardner-Webb,33.0,-1.73,73.52,73.15,40.48,26.27,60.36,0.01,7.55,21.88,13.42,21.27,11.21,11.67
George Mason,32.0,1.85,71.03,65.91,40.0,24.72,53.75,0.01,6.81,19.91,14.78,19.91,10.09,11.81
George Washington,32.0,-0.06,76.78,77.25,41.09,26.28,59.41,0.01,8.97,24.88,15.25,20.44,9.16,12.41
Georgetown,32.0,7.72,70.84,77.88,40.31,24.22,58.34,0.01,8.28,23.94,14.12,19.78,12.19,12.19
Georgia,37.0,8.63,74.7,74.7,40.14,25.49,59.32,0.01,8.11,23.86,15.62,21.7,9.89,11.38
Georgia Southern,33.0,-2.53,73.33,79.24,40.45,25.67,59.73,0.01,9.36,26.61,12.64,17.27,10.52,13.21
Georgia State,31.0,-2.59,76.45,74.81,40.32,27.61,63.45,0.01,7.55,23.16,13.68,18.06,10.48,9.71
Georgia Tech,32.0,8.82,71.0,75.22,40.62,25.31,60.12,0.01,7.94,24.38,12.44,17.53,11.47,12.28
Gonzaga NCAA,35.0,4.02,84.54,69.14,40.0,32.0,61.77,0.01,6.94,19.26,13.6,18.86,10.83,9.77
Grambling NCAA,36.0,-5.48,67.67,69.61,40.5,23.89,54.31,0.01,5.14,15.19,14.75,20.83,9.61,13.14
Grand Canyon NCAA,35.0,-0.52,79.11,67.03,40.14,26.4,57.37,0.01,7.0,20.83,19.31,25.8,11.77,12.29
Green Bay,32.0,-4.07,69.03,68.97,40.31,24.38,54.44,0.01,8.91,26.25,11.38,15.75,8.84,12.0
Hampton,33.0,-5.29,71.79,76.36,40.0,25.85,60.94,0.01,7.3,23.0,12.79,17.91,11.27,12.45
Harvard,27.0,-2.08,70.37,71.74,40.37,24.63,56.15,0.02,7.41,22.07,13.7,19.52,9.26,12.15
Hawaii,34.0,-2.57,72.29,68.74,40.44,24.79,54.15,0.01,7.79,22.82,14.91,20.76,8.44,12.44
High Point,36.0,-4.83,83.89,74.44,40.69,27.75,60.08,0.01,8.33,24.42,20.06,25.78,13.22,11.08
Hofstra,33.0,-1.98,74.21,68.45,40.15,27.39,58.12,0.01,10.0,26.97,9.42,12.52,7.7,10.42
Holy Cross,33.0,-7.87,66.48,74.61,40.15,24.7,56.27,0.01,7.55,21.33,9.55,14.42,8.27,11.03
Houston NCAA,37.0,9.80,73.51,57.62,40.41,26.51,60.35,0.01,7.73,22.19,12.76,18.57,13.43,8.92
